sepal_length,sepal_width,petal_length,petal_width,petal_area_mm2,species
5.6,2.7,4.2,1.3,546.0000000000001,versicolor
5.7,3.0,4.2,1.3,546.0000000000001,versicolor
5.7,2.9,4.2,1.3,546.0000000000001,versicolor
6.2,2.9,4.3,1.3,559.0,versicolor
5.1,2.5,3.0,1.1,330.0,versicolor
5.7,2.8,4.1,1.3,533.0,versicolor
6.3,3.3,6.0,2.5,1500.0,virginica
5.8,2.7,5.1,1.9,969.0,virginica
7.1,3.0,5.9,2.0,1180.0,virginica
6.3,2.9,5.6,1.8,1008.0,virginica
6.5,3.0,5.8,2.2,1276.0,virginica
7.6,3.0,6.6,2.1,1386.0,virginica
4.9,2.5,4.5,1.7,765.0,virginica
7.3,2.9,6.3,1.8,1134.0,virginica
6.7,2.5,5.8,1.8,1044.0,virginica
6.5,3.6,6.1,2.5,1525.0,virginica
6.5,3.0,5.1,2.0,1019.9999999999999,virginica
6.4,2.7,5.3,1.9,1006.9999999999999,virginica
6.5,3.0,5.5,2.1,1155.0,virginica
5.7,2.5,5.0,2.0,1000.0,virginica
5.8,2.8,5.1,2.4,1223.9999999999998,virginica
6.4,3.0,5.3,2.3,1219.0,virginica
6.5,3.0,5.5,1.8,990.0,virginica
7.7,3.8,6.7,2.2,1474.0000000000002,virginica
7.7,3.0,6.9,2.3,1587.0,virginica
6.5,2.2,5.0,1.5,750.0,virginica
6.5,3.2,5.7,2.3,1311.0,virginica
5.6,2.8,4.9,2.0,980.0000000000001,virginica
7.7,3.0,6.7,2.0,1340.0,virginica
6.3,2.7,4.9,1.8,882.0,virginica
6.7,3.3,5.7,2.1,1197.0,virginica
7.2,3.2,6.0,1.8,1080.0,virginica
6.2,2.8,4.8,1.8,864.0,virginica
6.1,3.0,4.9,1.8,882.0,virginica
6.4,2.8,5.6,2.1,1176.0,virginica
7.2,3.0,5.8,1.6,927.9999999999999,virginica
7.4,2.8,6.1,1.9,1158.9999999999998,virginica
7.9,3.8,6.4,2.0,1280.0,virginica
6.4,2.8,5.6,2.2,1232.0,virginica
6.3,2.8,5.1,1.5,765.0,virginica
6.1,2.6,5.6,1.4,783.9999999999999,virginica
7.7,3.0,6.1,2.3,1402.9999999999998,virginica
6.3,3.4,5.6,2.4,1344.0,virginica
6.4,3.1,5.5,1.8,990.0,virginica
6.0,3.0,4.8,1.8,864.0,virginica
6.9,3.1,5.4,2.1,1134.0000000000002,virginica
6.7,3.1,5.6,2.4,1344.0,virginica
6.9,3.1,5.1,2.3,1172.9999999999998,virginica
6.8,3.2,5.9,2.3,1357.0,virginica
6.7,3.3,5.7,2.5,1425.0,virginica
6.7,3.0,5.2,2.3,1196.0,virginica
6.3,2.5,5.0,1.9,950.0,virginica
6.5,3.0,5.2,2.0,1040.0,virginica
6.2,3.4,5.4,2.3,1242.0,virginica
5.9,3.0,5.1,1.8,918.0,virginica
5.7,3.8,1.7,0.3,51.0,setosa
